県名,No,変電所名,電圧kV_一次,電圧kV_二次,台数,設備容量MW,運用容量値MW,運用容量制約要因,空容量_当該設備MW,空容量_上位系等考慮MW,N1電制_適用可否,N1電制_適用可能量MW,平常時出力制御の可能性,平常時出力制御_当該設備,平常時出力制御_上位系設備,備考
千葉県,1,関宿,66,6.6以下,2,38,39,熱容量,0,0,不可,-,有り,-,送52,上位系（送52）による制約
千葉県,2,川間,66,6.6以下,3,47,49,熱容量,12,0,不可,-,有り,-,送52，送50，送45,上位系（送45）による制約
千葉県,3,出口,66,6.6以下,3,57,59,熱容量,18,0,不可,-,有り,-,送52，送50，送45,上位系（送45）による制約
千葉県,4,旭村,66,6.6以下,2,28,29,熱容量,7,0,不可,-,有り,-,送52，送50，送45,上位系（送45）による制約
千葉県,5,野田,66,6.6以下,3,57,59,熱容量,18,0,不可,-,有り,-,送52，送50，送45,上位系（送45）による制約
千葉県,6,三ヶ尾,66,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,送52，送50，送45,上位系（送45）による制約
千葉県,7,運河,66,6.6以下,3,47,49,熱容量,13,0,不可,-,有り,-,送52，送50，送45,上位系（送45）による制約
千葉県,8,江戸川台,66,6.6以下,3,57,59,熱容量,15,15,不可,-,-,-,-,
千葉県,9,根戸,66,6.6以下,3,52,54,熱容量,14,14,不可,-,-,-,-,
千葉県,10,柏高田,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
千葉県,11,流山,66,6.6以下,3,57,59,熱容量,17,17,不可,-,-,-,-,
千葉県,12,平和台,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
千葉県,13,我孫子,66,6.6以下,3,47,49,熱容量,9,9,不可,-,-,-,-,
千葉県,14,柏東口,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,送47,上位系（送47）による制約
千葉県,15,柏,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
千葉県,16,大谷口,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,送47,上位系（送47）による制約
千葉県,17,天王台,66,6.6以下,2,38,39,熱容量,17,17,不可,-,-,-,-,
千葉県,18,増尾,66,6.6以下,3,57,59,熱容量,17,0,不可,-,有り,-,送47,上位系（送47）による制約
千葉県,19,酒井根,154,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,送47,上位系（送47）による制約
千葉県,20,小金,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,送47,上位系（送47）による制約
千葉県,21,六和,66,6.6以下,3,47,49,熱容量,14,14,不可,-,-,-,-,
千葉県,22,印西,66,6.6以下,3,47,49,熱容量,0,0,不可,-,有り,-,送47,上位系（送47）による制約
千葉県,23,富塚,66,6.6以下,2,38,39,熱容量,16,0,不可,-,有り,-,送47,上位系（送47）による制約
千葉県,24,白井,66,6.6以下,3,52,54,熱容量,7,0,不可,-,有り,-,送47,上位系（送47）による制約
千葉県,25,金ヶ作,66,6.6以下,3,47,49,熱容量,14,0,不可,-,有り,-,送47,上位系（送47）による制約
千葉県,26,八柱,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,送47,上位系（送47）による制約
千葉県,27,松戸,66,6.6以下,3,52,54,熱容量,14,0,不可,-,有り,-,送47,上位系（送47）による制約
千葉県,28,西松戸,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
千葉県,29,佐原,66,6.6以下,3,57,59,熱容量,0,0,不可,-,有り,-,送46，送39，送千葉66kV14,上位系（送千葉66kV14）による 制約
