県名,電圧kV,No,変電所名,電圧,台数,設備容量MW,運用容量値MW,運用容量制約要因,空容量_当該設備MW,空容量_上位系等考慮MW,N1電制_適用可否,N1電制_適用可能量MW,平常時出力制御の可能性,平常時出力制御_当該設備,平常時出力制御_上位系設備,備考
千葉県,154,1,新野田12-14B,275/154,3,685,524,熱容量,592,0,可,161,有り,-,送47,抑制が必要となる設備には送46含 む 上位系（送47）による制約
千葉県,154,2,新京葉,275/154,3,991,680,熱容量,684,0,可,311,有り,-,送47,抑制が必要となる設備には送46含 む 上位系（送47）による制約
千葉県,154,3,房総,275/154,4,970,743,熱容量,0,0,可,0,有り,対象,送47，変12,抑制が必要となる設備には送46含 む 上位系（変12）による制約
千葉県,154,4,東葛,154/66,4,659,564,熱容量,570,0,可,95,有り,-,送47,抑制が必要となる設備には送46含 む 上位系（送47）による制約
千葉県,154,5,下総,154/66,4,752,677,熱容量,684,0,可,75,有り,-,送47,抑制が必要となる設備には送46含 む 上位系（送47）による制約
千葉県,154,6,東千葉,154/66,4,754,678,熱容量,439,0,可,76,有り,-,送47，変12，変千葉154kV3,抑制が必要となる設備には送46含む 上 位系（送千葉154kV9）による制約
千葉県,154,7,外房,154/66,3,563,449,熱容量,0,0,可,95,有り,-,送47，変12，変千葉154kV3 ，送千葉154kV11,抑制が必要となる設備には送46含む 上 位系（送千葉154kV11）による制約
千葉県,154,8,新木更津,275/154,2,854,513,熱容量,0,0,可,0,有り,対象,送47，変11,抑制が必要となる設備には送46含 む 上位系（変11）による制約
千葉県,154,9,新野田15-17B,275/154,3,846,675,熱容量,563,0,可,171,有り,-,送47,抑制が必要となる設備には送46含 む 上位系（送47）による制約
千葉県,154,10,千葉ＮＴ,154/66,3,570,513,熱容量,570,0,可,57,有り,-,送47,抑制が必要となる設備には送46含 む 上位系（送47）による制約
千葉県,154,1,東葛,154/66,4,659,564,熱容量,570,570,可,95,-,-,-,抑制が必要となる設備には送4 6含む
千葉県,154,2,新京葉,275/66,4,1124,1010,熱容量,268,0,可,114,有り,-,送47,抑制が必要となる設備には送46含 む 上位系（送47）による制約
千葉県,154,3,北総,275/66,3,847,677,熱容量,525,0,可,170,有り,-,送47，送36,抑制が必要となる設備には送46含 む 上位系（送36）による制約
千葉県,154,4,花見川,275/66,4,932,786,熱容量,228,0,可,146,有り,-,送47，送143,抑制が必要となる設備には送46含 む 上位系（送143）による制約
千葉県,154,5,下総,154/66,4,753,677,熱容量,684,0,可,76,有り,-,送47,抑制が必要となる設備には送46含 む 上位系（送47）による制約
千葉県,154,6,葛南,275/66,2,569,342,熱容量,342,0,可,227,有り,-,送47,抑制が必要となる設備には送46含 む 上位系（送47）による制約
千葉県,154,7,東千葉,154/66,4,754,678,熱容量,439,0,可,76,有り,-,送47，変12，変千葉154kV3,抑制が必要となる設備には送46含む 上 位系（送千葉154kV9）による制約
千葉県,154,8,千葉中央,275/66,2,567,342,熱容量,71,0,可,225,有り,-,送47，送36，送33,上位系（送33）による制約
千葉県,154,9,外房,154/66,3,563,449,熱容量,0,0,可,95,有り,-,送47，変12，変千葉154kV3 ，送千葉154kV11,抑制が必要となる設備には送46含む 上 位系（変千葉154kV7）による制約
千葉県,154,10,姉崎中央１Ｕ,275/66,2,432,228,熱容量,0,0,可,0,有り,対象,送47，変12,抑制が必要となる設備には送46含 む 上位系（変12）による制約
千葉県,154,11,内房,154/66,4,632,548,熱容量,0,0,可,0,有り,対象,送47，変11，変千葉154kV8,抑制が必要となる設備には送46含む 上 位系（変千葉154kV8）による制約
千葉県,154,12,姉崎中央２Ｕ,275/66,2,330,171,熱容量,0,0,可,0,有り,対象,送47，変12,抑制が必要となる設備には送46含 む 上位系（変12）による制約
千葉県,154,13,千葉ＮＴ,154/66,3,570,513,熱容量,570,0,可,57,有り,-,送47,抑制が必要となる設備には送46含 む 上位系（送47）による制約
千葉県,154,1,橘,66/22,1,28,28,熱容量,19,0,不可 ♯２,-,有り,-,送46，送39，送千葉66kV14,抑制が必要となる設備には送47含む 上 位系（送千葉66kV21）による制約
千葉県,154,2,下総,66/22,1,28,28,熱容量,0,0,不可 ♯２,-,有り,-,送47,抑制が必要となる設備には送46含 む 上位系（送47）による制約
千葉県,154,3,館山,66/22,2,38,19,熱容量,16,0,不可 ♯２,-,有り,-,送47，変11，変千葉154kV8，変 千葉66kV11，送千葉66kV102,抑制が必要となる設備には送46含む 上 位系（送千葉66kV102）による制約
千葉県,154,4,溝原,22/-,1,-,-,-,0,0,-,-,有り,-,送46，送39，送千葉66kV14,6kV供給変圧器のため対象外 上 位系（送千葉66kV21）による制約
千葉県,154,5,西岬,22/-,1,-,-,-,9,0,-,-,有り,-,送47，変11，変千葉154kV8，変 千葉66kV11，送千葉66kV102,6kV供給変圧器のため対象外 上 位系（送千葉66kV102）による制約
千葉県,154,6,神戸,22/-,1,-,-,-,9,0,-,-,有り,-,送47，変11，変千葉154kV8，変 千葉66kV11，送千葉66kV102,6kV供給変圧器のため対象外 上 位系（送千葉66kV102）による制約
千葉県,154,7,犬石,22/-,1,-,-,-,0,0,-,-,有り,-,送47，変11，変千葉154kV8，変 千葉66kV11，送千葉66kV102,6kV供給変圧器のため対象外 上 位系（送千葉66kV102）による制約
千葉県,154,8,長尾,22/-,1,-,-,-,9,0,-,-,有り,-,送47，変11，変千葉154kV8，変 千葉66kV11，送千葉66kV102,6kV供給変圧器のため対象外 上 位系（送千葉66kV102）による制約
千葉県,154,9,塩浦,22/-,1,-,-,-,8,0,-,-,有り,-,送47，変11，変千葉154kV8，変 千葉66kV11，送千葉66kV102,6kV供給変圧器のため対象外 上 位系（送千葉66kV102）による制約
