県名,電圧kV,No,送電線名,電圧,回線数,設備容量MW,運用容量値MW,運用容量制約要因,空容量_当該設備MW,空容量_上位系等考慮MW,N1電制_適用可否,N1電制_適用可能量MW,平常時出力制御の可能性,平常時出力制御_当該設備,平常時出力制御_上位系設備,備考
千葉県,154,1,東葛線1・2L,154,2,514,290,熱容量,257,0,可,224,有り,-,送47,抑制が必要となる設備には送46 含む 上位系（送47）による制約
千葉県,154,2,下葛線,154,2,176,176,熱容量,176,0,可,0,有り,-,送47,抑制が必要となる設備には送46 含む 上位系（送47）による制約
千葉県,154,3,下総線,154,2,260,260,熱容量,260,0,可,0,有り,-,送47,抑制が必要となる設備には送46 含む 上位系（送47）による制約
千葉県,154,4,北船橋線,154,2,492,492,熱容量,492,0,可,0,有り,-,送47,抑制が必要となる設備には送46 含む 上位系（送47）による制約
千葉県,154,5,下総線,154,2,260,260,熱容量,260,0,可,0,有り,-,送47,抑制が必要となる設備には送46 含む 上位系（送47）による制約
千葉県,154,6,北船橋線,154,2,234,234,熱容量,234,0,可,0,有り,-,送47,抑制が必要となる設備には送46 含む 上位系（送47）による制約
千葉県,154,7,矢切線,154,2,1506,870,熱容量,753,0,可,636,有り,-,送47,抑制が必要となる設備には送46 含む 上位系（送47）による制約
千葉県,154,8,坪井線,154,2,986,565,熱容量,493,0,可,421,有り,-,送47,抑制が必要となる設備には送46 含む 上位系（送47）による制約
千葉県,154,9,東千葉房総線,154,2,1052,577,熱容量,0,0,可,313,有り,-,送47，変12，変千葉154kV3,抑制が必要となる設備には送46含む 上位系（変千葉154kV3）による制約
千葉県,154,10,生実線,154,2,493,493,熱容量,0,0,可,0,有り,対象,送47，変12，変千葉154kV3,抑制が必要となる設備には送46含む 上位系（変千葉154kV3）による制約
千葉県,154,11,東千葉外房線,154,2,986,565,熱容量,0,0,可,0,有り,対象,送47，変12，変千葉154kV3,抑制が必要となる設備には送46含む 上位系（送千葉154kV9）による制約
千葉県,154,12,市原五井線,154,2,294,195,熱容量,147,0,可,99,有り,-,送47，変12，変千葉154kV3,抑制が必要となる設備には送46含む 上位系（変千葉154kV3）による制約
千葉県,154,13,送電線,154,2,-,-,-,52,0,-,-,有り,-,送47，変11，変千葉154kV8,抑制が必要となる設備には送46含む 上位系（変千葉154kV8）による制約
千葉県,154,14,東葛線3・4L,154,2,514,290,熱容量,257,0,可,224,有り,-,送47,抑制が必要となる設備には送46 含む 上位系（送47）による制約
千葉県,154,15,木下線,154,2,986,565,熱容量,492,0,可,0,有り,-,送47,抑制が必要となる設備には送46 含む 上位系（送47）による制約
千葉県,66,1,山西線,66,2,294,167,熱容量,80,0,可,127,有り,-,送52,上位系（送52）による制約
千葉県,66,2,出口線,66,2,196,107,熱容量,88,0,可,89,有り,-,送52，送50，送45,上位系（送45）による制約
千葉県,66,3,水海道線,66,2,444,254,熱容量,218,0,可,190,有り,-,送52，送50，送45,上位系（送45）による制約
千葉県,66,4,水海道線,66,2,184,104,熱容量,88,0,可,80,有り,-,送52，送50，送45,上位系（送45）による制約
