県名,No,変電所名,電圧kV_一次,電圧kV_二次,台数,設備容量MW,運用容量値MW,運用容量制約要因,空容量_当該設備MW,空容量_上位系等考慮MW,N1電制_適用可否,N1電制_適用可能量MW,平常時出力制御の可能性,平常時出力制御_当該設備,平常時出力制御_上位系設備,備考
栃木県,1,那須湯本,66,6.6以下,3,38,39,熱容量,0,0,不可,-,有り,-,変3/送栃木154kV4,上位系（送栃木66kV1）による制約
栃木県,2,豊原,154,6.6以下,2,38,39,熱容量,0,0,不可,-,有り,-,変3,上位系（送栃木154kV1）による制約
栃木県,3,関谷,66,6.6以下,2,57,58,熱容量,0,0,不可,-,有り,-,変3/送栃木154kV4,上位系（送栃木66kV6）による制約
栃木県,4,川治,66,6.6以下,2,19,19,熱容量,5,0,不可,-,有り,-,変3/送栃木154kV4,上位系（送栃木154kV4）による制約
栃木県,5,稲沢,66,6.6以下,3,34,35,熱容量,0,0,不可,-,有り,-,変3/送栃木154kV4,上位系（送栃木66kV3）による制約
栃木県,6,黒磯,66,6.6以下,3,47,49,熱容量,1,0,不可,-,有り,-,変3/送栃木154kV4,上位系（送栃木66kV1）による制約
栃木県,7,那須野,66,6.6以下,2,38,39,熱容量,0,0,不可,-,有り,-,変3/送栃木154kV4,上位系（送栃木66kV2）による制約
栃木県,8,西富山,66,6.6以下,3,57,59,熱容量,5,0,不可,-,有り,-,変3/送栃木154kV4,上位系（変栃木66kV1）による制約
栃木県,9,栗山,66,6.6以下,1,5,5,熱容量,5,0,不可,-,有り,-,変3,上位系（送栃木66kV17）による制約
栃木県,10,川俣,66,6.6以下,1,2,2,熱容量,2,0,不可,-,有り,-,変3,上位系（送栃木66kV17）による制約
栃木県,11,大田原,66,6.6以下,3,52,54,熱容量,8,0,不可,-,有り,-,変3/送栃木154kV4,上位系（送栃木66kV2）による制約
栃木県,12,石上,66,6.6以下,3,38,39,熱容量,0,0,不可,-,有り,-,変3/送栃木154kV4,上位系（変栃木66kV1）による制約
栃木県,13,矢板,66,6.6以下,3,38,39,熱容量,0,0,不可,-,有り,-,変3,上位系（送栃木66kV18）による制約
栃木県,14,湯津上,66,6.6以下,2,19,19,熱容量,0,0,不可,-,有り,-,変3/送栃木154kV4,上位系（送栃木66kV2）による制約
栃木県,15,玉生,66,6.6以下,3,28,29,熱容量,0,0,不可,-,有り,-,変3,上位系（送栃木66kV11）による制約
栃木県,16,鬼怒川,66,6.6以下,3,42,44,熱容量,9,0,不可,-,有り,-,変3/送栃木154kV4,上位系（送栃木154kV4）による制約
栃木県,17,所野,66,6.6以下,3,19,19,熱容量,0,0,不可,-,有り,-,変3,上位系（送栃木66kV16）による制約
栃木県,18,匠町,66,6.6以下,2,38,39,熱容量,10,0,不可,-,有り,-,変3,上位系（送栃木66kV16）による制約
栃木県,19,中禅寺,66,6.6以下,2,19,19,熱容量,9,0,不可,-,有り,-,変3,上位系（送栃木66kV16）による制約
栃木県,20,馬頭,66,6.6以下,2,28,29,熱容量,1,0,不可,-,有り,-,変3/送栃木154kV4,上位系（送栃木66kV3）による制約
栃木県,21,上川井,66,6.6以下,3,47,49,熱容量,0,0,不可,-,有り,-,変3/送栃木154kV4,上位系（送栃木66kV3）による制約
栃木県,22,喜連川,66,6.6以下,2,38,39,熱容量,0,0,不可,-,有り,-,変3,上位系（送栃木66kV21）による制約
栃木県,23,今市,66,6.6以下,3,57,59,熱容量,8,0,不可,-,有り,-,変3,上位系（送栃木66kV13）による制約
栃木県,24,氏家,66,6.6以下,3,47,49,熱容量,5,0,不可,-,有り,-,変3,上位系（送栃木66kV20）による制約
栃木県,25,小室,66,6.6以下,2,19,19,熱容量,0,0,不可,-,有り,-,変3,上位系（送栃木66kV18）による制約
栃木県,26,大沢,66,6.6以下,3,47,49,熱容量,0,0,不可,-,有り,-,変3,上位系（送栃木66kV13）による制約
