県名,No,変電所名,電圧kV_一次,電圧kV_二次,台数,設備容量MW,運用容量値MW,運用容量制約要因,空容量_当該設備MW,空容量_上位系等考慮MW,N1電制_適用可否,N1電制_適用可能量MW,平常時出力制御の可能性,平常時出力制御_当該設備,平常時出力制御_上位系設備,備考
茨城県,1,五浦,66,6.6以下,3,38,39,熱容量,5,0,不可,-,有り,-,変2，送11，変茨城66kV1,上位系（変茨城66kV1）による 制約
茨城県,2,磯原,66,6.6以下,3,28,29,熱容量,1,0,不可,-,有り,-,変2，送11，変茨城66kV1,上位系（変茨城66kV1）による 制約
茨城県,3,木皿,66,6.6以下,2,19,19,熱容量,0,0,不可,-,有り,-,変2，送11，変茨城66kV1,上位系（変茨城66kV1）による 制約
茨城県,4,大子,66,6.6以下,3,38,39,熱容量,4,0,不可,-,有り,-,変2，送11，変茨城66kV1,上位系（送茨城66kV23）による 制約
茨城県,5,手綱,66,6.6以下,2,38,39,熱容量,2,0,不可,-,有り,-,変2，送11，変茨城66kV1,上位系（変茨城66kV1）による 制約
茨城県,6,里美,66,6.6以下,1,9,9,熱容量,5,0,不可,-,有り,-,変2，送11，変茨城66kV1,上位系（送茨城66kV23）による 制約
茨城県,7,高萩,66,6.6以下,3,47,49,熱容量,0,0,不可,-,有り,-,変2，送11，変茨城66kV1,上位系（送茨城66kV7）による 制約
茨城県,8,小木津,66,6.6以下,2,38,39,熱容量,15,0,不可,-,有り,-,変2，送11，変茨城66kV1,上位系（変茨城66kV1）による 制約
茨城県,9,山方,66,6.6以下,2,19,19,熱容量,0,0,不可,-,有り,-,変2，送11，変茨城154kV1,上位系（送茨城66kV65）による 制約
茨城県,10,日立,66,6.6以下,3,38,39,熱容量,5,0,不可,-,有り,-,変2，送11，変茨城66kV1,上位系（変茨城66kV1）による 制約
茨城県,11,助川,66,6.6以下,3,38,39,熱容量,8,0,不可,-,有り,-,変2，送11，変茨城66kV1,上位系（変茨城66kV1）による 制約
茨城県,12,北多賀,66,6.6以下,3,52,54,熱容量,14,0,不可,-,有り,-,変2，送11，変茨城66kV1,上位系（変茨城66kV1）による 制約
茨城県,13,常陸大宮,66,6.6以下,3,38,39,熱容量,0,0,不可,-,有り,-,変2，送11，変茨城154kV1,上位系（送茨城66kV25）による 制約
茨城県,14,常陸太田,66,6.6以下,3,33,34,熱容量,3,0,不可,-,有り,-,変2，送11，変茨城154kV1,上位系（送茨城66kV25）による 制約
茨城県,15,真弓,66,6.6以下,2,38,39,熱容量,7,0,不可,-,有り,-,変2，送11，変茨城66kV1,上位系（変茨城66kV1）による 制約
茨城県,16,多賀,66,6.6以下,3,42,44,熱容量,9,0,不可,-,有り,-,変2，送11，変茨城66kV1,上位系（変茨城66kV1）による 制約
茨城県,17,水戸北部,154,6.6以下,3,38,39,熱容量,0,0,不可,-,有り,-,変2，送11，変茨城154kV1,上位系（送茨城154kV7）による 制約
茨城県,18,大みか,66,6.6以下,2,38,39,熱容量,18,0,不可,-,有り,-,変2，送11，変茨城66kV1,上位系（変茨城66kV1）による 制約
茨城県,19,桂,154,6.6以下,2,38,39,熱容量,0,0,不可,-,有り,-,変2，送11，変茨城154kV1,上位系（送茨城154kV8）による 制約
茨城県,20,笠松,66,6.6以下,3,57,59,熱容量,9,0,不可,-,有り,-,変2，送11，変茨城154kV1,上位系（変茨城66kV6）による 制約
茨城県,21,飯田,66,6.6以下,3,57,59,熱容量,0,0,不可,-,有り,-,変2，送11，変茨城154kV1,上位系（変茨城66kV6）による 制約
茨城県,22,長砂,66,6.6以下,3,57,59,熱容量,11,0,不可,-,有り,-,変2，送11，変茨城154kV1,上位系（変茨城66kV6）による 制約
茨城県,23,勝田,66,6.6以下,3,52,54,熱容量,11,0,不可,-,有り,-,変2，送11，変茨城154kV1,上位系（変茨城66kV6）による 制約
茨城県,24,堀町,66,6.6以下,2,38,39,熱容量,2,0,不可,-,有り,-,変2，送11，変茨城154kV1,上位系（送茨城154kV2）による 制約
茨城県,25,赤塚,66,6.6以下,3,52,54,熱容量,7,0,不可,-,有り,-,変2，送11，変茨城154kV1,上位系（送茨城154kV2）による 制約
