県名,電圧kV,No,送電線名,電圧,回線数,設備容量MW,運用容量値MW,運用容量制約要因,空容量_当該設備MW,空容量_上位系等考慮MW,N1電制_適用可否,N1電制_適用可能量MW,平常時出力制御の可能性,平常時出力制御_当該設備,平常時出力制御_上位系設備,備考
茨城県,154,1,西茨線,154,2,-,-,-,231,0,-,-,有り,-,変2，送11，変茨城154kV1,◇ 抑制が必要となる設備には変4含む 上 位系（変茨城154kV1）による制約
茨城県,154,2,西水戸線,154,2,1974,1131,熱容量,0,0,可,780,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城154kV1）による制約
茨城県,154,3,戸崎線,154,2,986,565,熱容量,179,0,可,734,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城154kV1）による制約
茨城県,154,4,筑南線,154,2,1506,870,熱容量,139,0,可,271,有り,-,送52，変4,抑制が必要となる設備には変2、送11 含む 上位系（変4）による制約
茨城県,154,5,八千代線,154,2,1974,1131,熱容量,424,0,可,722,有り,-,送52，変4,抑制が必要となる設備には変2、送11 含む 上位系（変4）による制約
茨城県,154,6,野木線,154,2,1974,1131,熱容量,467,0,可,727,有り,-,送52，変4,抑制が必要となる設備には変2、送11 含む 上位系（変4）による制約
茨城県,154,7,水戸北部線・小野線,154,2,258,148,熱容量,0,0,可,25,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（送茨城154kV8）による制約
茨城県,154,8,茨城線,154,2,228,131,熱容量,0,0,可,0,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城154kV1）による制約
茨城県,154,9,村松線,154,2,308,172,熱容量,193,0,可,224,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（送茨城154kV8）による制約
茨城県,154,10,石岡線,154,2,1974,1131,熱容量,1584,0,可,0,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（送茨城154kV2）による制約
茨城県,154,11,新治線,154,2,1078,591,熱容量,113,0,可,100,有り,-,送52，変4,抑制が必要となる設備には変2、送11 含む 上位系（変4）による制約
茨城県,154,12,湖西線,154,2,474,269,熱容量,240,0,可,224,有り,-,送47,抑制が必要となる設備には送46 含む 上位系（送47）による制約
茨城県,154,13,送電線,154,2,-,-,-,181,0,-,-,有り,-,送46，送39,抑制が必要となる設備には送47 含む 上位系（送39）による制約
茨城県,154,1,北茨城線,66,2,158,89,熱容量,22,0,可,57,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,2,勿来線,66,2,66,66,熱容量,33,0,可,0,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,3,磯原線,66,2,106,69,熱容量,44,0,可,37,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,4,臼場線,66,2,106,69,熱容量,53,0,可,37,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,5,手綱線,66,2,102,57,熱容量,16,0,可,45,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,6,松久保線,66,2,102,67,熱容量,51,0,可,35,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,7,高萩線,66,2,102,57,熱容量,0,0,可,37,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,8,常磐線,66,2,444,254,熱容量,198,0,可,190,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,9,常北線,66,2,444,254,熱容量,216,0,可,190,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,10,小木津線,66,2,138,92,熱容量,63,0,可,46,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,11,送電線,66,2,-,-,-,69,0,-,-,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,12,送電線,66,2,66,37,熱容量,33,0,可,29,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,13,白銀線,66,2,150,85,熱容量,72,0,可,65,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,14,助川線,66,2,132,74,熱容量,66,0,可,13,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,15,北多賀線,66,2,294,167,熱容量,147,0,可,127,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,16,鮎川線,66,2,102,67,熱容量,51,0,可,35,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,17,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,18,多賀線,66,2,132,74,熱容量,66,0,可,58,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,19,大みか線,66,2,138,92,熱容量,64,0,可,46,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,20,送電線,66,2,-,-,-,53,0,-,-,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,21,送電線,66,2,-,-,-,151,0,-,-,有り,-,変2，送11，変茨城66kV1,◇ 抑制が必要となる設備には変4含む 上 位系（変茨城66kV1）による制約
茨城県,154,22,真弓線,66,2,132,88,熱容量,44,0,可,44,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,23,大子線,66,2,51,51,熱容量,0,0,可,0,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
茨城県,154,24,久慈線,66,2,302,172,熱容量,18,0,可,130,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（送茨城66kV25）による制約
茨城県,154,25,常陸大宮線,66,2,190,118,熱容量,0,0,可,31,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV6）による制約
茨城県,154,26,送電線,66,2,92,92,熱容量,26,0,可,0,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（送茨城66kV25）による制約
茨城県,154,27,小野川線,66,2,184,104,熱容量,65,0,可,80,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県,154,28,送電線,66,2,184,104,熱容量,92,0,可,80,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県,154,29,牛久北部線,66,2,102,57,熱容量,17,0,可,6,有り,-,送52，送50，送45,上位系（送45）による制約
