県名,電圧kV,No,変電所名,電圧,台数,設備容量MW,運用容量値MW,運用容量制約要因,空容量_当該設備MW,空容量_上位系等考慮MW,N1電制_適用可否,N1電制_適用可能量MW,平常時出力制御の可能性,平常時出力制御_当該設備,平常時出力制御_上位系設備,備考
栃木県,154,1,那須野,154,-,548,438,熱容量,0,0,可,0,有り,-,変3/送栃木154kV4,※3※6 上位系（送栃木154kV4）による制約
栃木県,154,2,新栃木,154,-,712,342,熱容量,57,0,可,370,有り,対象,変3,運用容量は500/154kVバンクとの合算 上位系（変3）による制約
栃木県,154,2,新栃木,154,-,2850,2565,熱容量,0,0,可,285,有り,-,変3,運用容量は275/154kVバンクとの合算 上位系（変3）による制約
栃木県,154,3,河内,154,-,655,562,熱容量,0,0,可,0,有り,-,変3,※3※6 上位系（送栃木154kV8）による制約
栃木県,154,4,西宇都宮,154,-,563,447,熱容量,0,0,可,0,有り,-,変3,※2※6 上位系（変栃木154kV2）による制約
栃木県,154,5,芳賀,154,-,561,450,熱容量,242,0,可,111,有り,-,変3,※2※6 上位系（変栃木154kV2）による制約
栃木県,154,6,小山,154,-,894,844,熱容量,213,0,可,50,有り,-,送52/変4,※4※6 上位系（送栃木154kV12）による制約
栃木県,154,7,佐野,154,-,566,452,熱容量,40,0,可,114,有り,-,送52/変4,※2※6 上位系（変4）による制約
栃木県,154,8,野木,154,-,378,228,熱容量,115,0,可,150,有り,-,送52/変4,※6 上位系（変4）による制約
栃木県,154,9,鬼怒川,154,-,95,95,熱容量,61,0,不可,#2,-,-,-,- -
栃木県,66,1,那須野,154/66,4,548,438,熱容量,0,0,可,0,有り,-,変3/送栃木154kV4,※3※6 上位系（変栃木154kV1）による制約
栃木県,66,2,鬼怒川,154/66,1,95,95,熱容量,61,0,不可,#2,-,有り,-,変3/送栃木154kV4 ※1 上位系（送栃木154kV4）による制約
栃木県,66,3,河内,154/66,4,655,562,熱容量,0,0,可,0,有り,-,変3,※3※6 上位系（変栃木154kV3）による制約
栃木県,66,4,西宇都宮,154/66,3,563,447,熱容量,0,0,可,0,有り,-,変3,※2※6 増強予定 上位系（栃木154kV4）による制約
栃木県,66,5,芳賀,154/66,3,561,450,熱容量,242,0,可,111,有り,-,変3,※2※6 上位系（変栃木154kV2）による制約
栃木県,66,6,小山,154/66,5,894,844,熱容量,213,0,可,50,有り,-,送52/変4,※4※6 上位系（送栃木154kV12）による制約
栃木県,66,7,佐野,154/66,3,566,452,熱容量,40,0,可,114,有り,-,送52/変4,※2※6 上位系（変4）による制約
栃木県,66,8,野木,154/66,2,378,228,熱容量,115,0,可,150,有り,-,送52/変4,※6 上位系（変4）による制約
栃木県,22,1,箒川変電所,66/22,2,23,14,熱容量,9,0,不可,#2,-,有り,-,変3/送栃木154kV4 上位系（送栃木66kV6）による制約
栃木県,22,2,葛生変電所,66/22,1,17,17,熱容量,9,0,不可,#2,-,有り,-,送52/変4 ※1 上位系（送栃木66kV61）による制約
栃木県,22,3,塩原第1,22/-,1,-,-,-,9,0,-,-,有り,-,変3/送栃木154kV4,kV供給変圧器のため対象外 上位系（送栃木66kV6）による制約
栃木県,22,4,塩原第2,22/-,1,-,-,-,9,0,-,-,有り,-,変3/送栃木154kV4,kV供給変圧器のため対象外 上位系（送栃木66kV6）による制約
栃木県,22,5,塩原第3,22/-,1,-,-,-,4,0,-,-,有り,-,変3/送栃木154kV4,kV供給変圧器のため対象外 上位系（送栃木66kV6）による制約
