県名,電圧kV,No,送電線名,電圧,回線数,設備容量MW,運用容量値MW,運用容量制約要因,空容量_当該設備MW,空容量_上位系等考慮MW,N1電制_適用可否,N1電制_適用可能量MW,平常時出力制御の可能性,平常時出力制御_当該設備,平常時出力制御_上位系設備,備考
栃木県,154,1,猪苗代旧幹線,154,2,210,117,熱容量,0,0,可,0,有り,-,変3,※4 上位系（変3）による制約
栃木県,154,2,猪苗代新幹線,154,2,328,183,熱容量,0,0,可,0,有り,-,変3,※4 上位系（変3）による制約
栃木県,154,3,東那須野線,154,2,328,183,熱容量,327,0,可,0,有り,対象,変3,※4 上位系（送栃木154kV2）による制約
栃木県,154,4,栃那線,154,2,986,565,熱容量,0,0,可,0,有り,-,変3,※4 上位系（変栃木154kV2）による制約
栃木県,154,5,下滝線,154,1,147,147,熱容量,0,0,不可,#2,-,有り,対象,変3/送栃木154kV4 ※1 上位系（送栃木154kV4）による制約
栃木県,154,6,栃山線,154,2,1974,1131,熱容量,101,0,可,0,有り,-,変3,※4 2023/1新栃木募プロ対策工事完了後に連系可能 上位系（変栃木154kV2）による制約
栃木県,154,7,芳賀線,154,2,986,565,熱容量,261,0,可,421,有り,-,変3,※4 上位系（変栃木154kV2）による制約
栃木県,154,8,白沢線1・2L,154,2,730,410,熱容量,0,0,可,133,有り,-,変3,※4 上位系（変栃木154kV2）による制約
栃木県,154,9,西宇都宮線,154,2,1974,1131,熱容量,306,0,可,0,有り,-,変3,※4 上位系（変栃木154kV2）による制約
栃木県,154,10,猪苗代新幹線,154,2,328,183,熱容量,164,0,可,145,有り,-,変3,※4 上位系（送栃木154kV8）による制約
栃木県,154,11,猪苗代新幹線,154,2,328,183,熱容量,110,0,可,145,有り,-,送52/変4,※4 上位系（送栃木154kV12）による制約
栃木県,154,12,小北線,154,2,1974,1131,熱容量,0,0,可,670,有り,-,送52/変4,※4 上位系（変4）による制約
栃木県,154,13,八千代線,154,2,1974,1131,熱容量,319,0,可,188,有り,-,送52/変4,※4 上位系（変4）による制約
栃木県,154,14,野木線,154,2,1974,1131,熱容量,365,0,可,680,有り,-,送52/変4,※4 上位系（変4）による制約
栃木県,154,15,佐野線,154,2,1974,1131,熱容量,701,0,可,843,有り,-,送52/変4,※4 上位系（変4）による制約
栃木県,154,16,茨城線,154,2,294,165,熱容量,110,0,可,0,有り,-,送52/変4,※4 上位系（変4）による制約
栃木県,154,17,白沢線3・4L,154,2,730,410,熱容量,0,0,可,105,有り,-,変3,※4 上位系（変栃木154kV2）による制約
栃木県,66,1,那須線,66,2,102,57,熱容量,0,0,可,13,有り,-,変3/送栃木154kV4,※4 上位系（変栃木66kV1）による制約
栃木県,66,2,富池線,66,2,444,254,熱容量,0,0,可,0,有り,-,変3/送栃木154kV4,※4 上位系（変栃木66kV1）による制約
栃木県,66,3,黒川線,66,2,102,57,熱容量,0,0,可,0,有り,-,変3/送栃木154kV4,※4 上位系（送栃木66kV2）による制約
栃木県,66,4,馬頭線,66,2,102,57,熱容量,3,0,可,35,有り,-,変3/送栃木154kV4,※4 上位系（送栃木66kV3）による制約
栃木県,66,5,西那須野線,66,2,372,212,熱容量,3,0,可,79,有り,-,変3/送栃木154kV4,※4 上位系（変栃木66kV1）による制約
栃木県,66,6,関谷線,66,2,184,104,熱容量,0,0,可,0,有り,-,変3,※4 上位系（変栃木66kV1）による制約
栃木県,66,7,蛇尾川線,66,1,64,36,熱容量,4,0,不可,#2,-,有り,-,変3/送栃木154kV4 ※1 上位系（送栃木66kV1）による制約
栃木県,66,8,石上線,66,2,184,104,熱容量,44,0,可,80,有り,-,変3/送栃木154kV4,※4 上位系（変栃木66kV1）による制約
栃木県,66,9,川治線,66,2,132,74,熱容量,49,0,可,58,有り,-,変3/送栃木154kV4,※4 上位系（送栃木154kV4）による制約
栃木県,66,10,鬼怒川線,66,2,-,-,-,144,0,-,-,有り,-,変3/送栃木154kV4,※4 上位系（送栃木154kV4）による制約
栃木県,66,11,大田原線,66,2,184,104,熱容量,0,0,可,0,有り,-,変3,※4 上位系（送栃木66kV18）による制約
栃木県,66,12,西鬼怒線,66,1,-,-,-,50,0,-,-,有り,-,変3,※1 上位系（送栃木66kV11）による制約
栃木県,66,13,岩沼線,66,2,184,104,熱容量,0,0,可,0,有り,-,変3,※4 増強予定 上位系（送栃木66kV10）による制約
栃木県,66,15,南今市線,66,2,132,66,熱容量,0,0,可,0,有り,-,変3,※4 増強予定 上位系（送栃木66kV13）による制約
栃木県,66,16,中禅寺線,66,2,132,74,熱容量,0,0,可,0,有り,-,変3,※4 増強予定 上位系（送栃木66kV13）による制約
栃木県,66,17,栗山線,66,2,102,57,熱容量,0,0,可,0,有り,-,変3,※4 増強予定 上位系（送栃木66kV13）による制約
栃木県,66,18,河内線,66,2,184,104,熱容量,0,0,可,0,有り,-,変3,※4 上位系（変栃木66kV3）による制約
栃木県,66,19,上平線,66,2,102,57,熱容量,8,0,可,0,有り,-,変3,※1 上位系（送栃木66kV18）による制約
栃木県,66,20,烏山線(河内側),66,2,184,104,熱容量,0,0,可,0,有り,-,変3,※4 上位系（変栃木66kV3）による制約
栃木県,66,21,喜連川線,66,2,184,104,熱容量,0,0,可,0,有り,-,変3,※4 上位系（送栃木66kV20）による制約
栃木県,66,22,氷室線,66,2,186,212,熱容量,146,0,可,0,有り,-,変3,※4 上位系（変栃木66kV3）による制約
栃木県,66,23,高根沢線,66,2,184,104,熱容量,40,0,可,80,有り,-,変3,※4 上位系（変栃木66kV3）による制約
栃木県,66,25,河宮線,66,2,372,212,熱容量,178,0,可,40,有り,-,変3,※4 上位系（変栃木66kV3）による制約
栃木県,66,26,下栗線,66,2,184,104,熱容量,80,0,可,80,有り,-,変3,※4 上位系（変栃木66kV3）による制約
栃木県,66,27,岩曽線,66,2,184,104,熱容量,77,0,可,0,有り,-,変3,※4 上位系（変栃木66kV3）による制約
栃木県,66,28,西河線1.2号,66,2,184,104,熱容量,88,0,可,80,有り,-,変3,※4 上位系（変栃木66kV3）による制約
栃木県,66,29,宇都宮線1.2号,66,2,184,104,熱容量,92,0,可,80,有り,-,変3,※4 上位系（送栃木66kV73）による制約
栃木県,66,30,江曽島線,66,2,102,57,熱容量,47,0,可,45,有り,-,変3,※4 上位系（変栃木66kV4）による制約
栃木県,66,31,玉生線,66,2,444,254,熱容量,0,0,可,0,有り,-,変3,※4 増強予定 上位系（変栃木66kV4）による制約
栃木県,66,32,深津線,66,2,132,74,熱容量,0,0,可,0,有り,-,変3,※4 増強予定 上位系（送栃木66kV76）による制約
栃木県,66,33,貝島線,66,2,132,74,熱容量,0,0,可,0,有り,-,変3,※4 増強予定 上位系（送栃木66kV31）による制約
栃木県,66,34,雀宮線,66,2,444,254,熱容量,0,0,可,0,有り,-,変3,※4 増強予定 上位系（送栃木66kV31）による制約
栃木県,66,35,粟野線,66,2,132,74,熱容量,0,0,可,0,-,-,-,変3 ※4 増強予定 上位系（送栃木66kV31）による制約
栃木県,66,36,小倉川線,66,2,102,57,熱容量,0,0,可,0,有り,-,変3,※4 増強予定 上位系（送栃木66kV31）による制約
栃木県,66,37,南赤羽線,66,2,372,212,熱容量,17,0,可,154,有り,-,変3,※4 上位系（変栃木154kV2）による制約
栃木県,66,38,市塙線,66,2,184,92,熱容量,0,0,可,0,有り,-,変3,※4 上位系（変栃木154kV2）による制約
栃木県,66,40,井頭線,66,2,444,254,熱容量,222,0,可,190,有り,-,変3,※4 上位系（変栃木154kV2）による制約
栃木県,66,45,真岡松山線,66,2,102,57,熱容量,51,0,可,45,有り,-,送52/変4,※4 上位系（送栃木154kV12）による制約
栃木県,66,46,川中子線,66,2,184,104,熱容量,0,0,可,0,有り,-,送52/変4,※4 上位系（送栃木154kV12）による制約
栃木県,66,47,惣社町線,66,2,184,104,熱容量,62,0,可,0,有り,-,送52/変4,※4 上位系（送栃木66kV46）による制約
栃木県,66,48,上三川線,66,2,184,104,熱容量,9,0,可,79,有り,-,送52/変4,※4 上位系（送栃木154kV12）による制約
栃木県,66,50,下館線,66,2,444,254,熱容量,173,0,可,42,有り,-,送52/変4,※4 上位系（送栃木154kV12）による制約
栃木県,66,53,三和線,66,2,222,222,熱容量,191,0,可,0,有り,-,送52/変4,※4 上位系（送栃木154kV12）による制約
栃木県,66,54,南結城線,66,2,294,167,熱容量,116,0,可,0,有り,-,送52/変4,※4 上位系（送栃木154kV12）による制約
栃木県,66,55,間々田線,66,2,444,254,熱容量,209,0,可,190,有り,-,送52/変4,※4 上位系（変4）による制約
栃木県,66,56,犬伏線,66,2,444,254,熱容量,186,0,可,190,有り,-,送52/変4,※4 上位系（送栃木154kV12）による制約
栃木県,66,57,水代線,66,2,444,254,熱容量,204,0,可,190,有り,-,送52/変4,※4 上位系（送栃木154kV12）による制約
